,Country,Continent,democracy,regime,start_year,duration,observed,Period
383,Cyprus,Asia,Democracy,Presidential Dem,2008,1,0,Late
384,Czech Republic,Europe,Democracy,Parliamentary Dem,1993,4,1,Late
385,Czech Republic,Europe,Democracy,Parliamentary Dem,1997,1,1,Late
386,Czech Republic,Europe,Democracy,Parliamentary Dem,1998,4,1,Late
387,Czech Republic,Europe,Democracy,Parliamentary Dem,2002,2,1,Late
388,Czech Republic,Europe,Democracy,Parliamentary Dem,2004,1,1,Late
389,Czech Republic,Europe,Democracy,Parliamentary Dem,2005,1,1,Late
390,Czech Republic,Europe,Democracy,Parliamentary Dem,2006,3,0,Late
391,Czechoslovakia,Europe,Non-democracy,Civilian Dict,1946,7,0,Early
392,Czechoslovakia,Europe,Non-democracy,Civilian Dict,1953,15,1,Early
393,Czechoslovakia,Europe,Non-democracy,Civilian Dict,1968,1,1,Middle
394,Czechoslovakia,Europe,Non-democracy,Civilian Dict,1969,18,1,Middle
395,Czechoslovakia,Europe,Non-democracy,Civilian Dict,1987,2,1,Late
396,Czechoslovakia,Europe,Democracy,Parliamentary Dem,1989,3,1,Late
397,Czechoslovakia,Europe,Democracy,Parliamentary Dem,1992,1,0,Late
398,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",Africa,Non-democracy,Civilian Dict,1960,5,1,Early
399,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",Africa,Non-democracy,Military Dict,1965,32,1,Early
400,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",Africa,Non-democracy,Civilian Dict,1997,4,0,Late
401,"Democratic Republic of the Congo (Zaire, Congo-Kinshasha)",Africa,Non-democracy,Civilian Dict,2001,8,0,Late
402,Denmark,Europe,Democracy,Parliamentary Dem,1946,1,1,Early
403,Denmark,Europe,Democracy,Parliamentary Dem,1947,3,1,Early
404,Denmark,Europe,Democracy,Parliamentary Dem,1950,3,1,Early
405,Denmark,Europe,Democracy,Parliamentary Dem,1953,2,0,Early
406,Denmark,Europe,Democracy,Parliamentary Dem,1955,5,0,Early
407,Denmark,Europe,Democracy,Parliamentary Dem,1960,2,1,Early
408,Denmark,Europe,Democracy,Parliamentary Dem,1962,6,1,Early
409,Denmark,Europe,Democracy,Parliamentary Dem,1968,3,1,Middle
410,Denmark,Europe,Democracy,Parliamentary Dem,1971,1,1,Middle
411,Denmark,Europe,Democracy,Parliamentary Dem,1972,1,1,Middle
412,Denmark,Europe,Democracy,Parliamentary Dem,1973,2,1,Middle
413,Denmark,Europe,Democracy,Parliamentary Dem,1975,7,1,Middle
414,Denmark,Europe,Democracy,Parliamentary Dem,1982,11,1,Middle
415,Denmark,Europe,Democracy,Parliamentary Dem,1993,8,1,Late
416,Denmark,Europe,Democracy,Parliamentary Dem,2001,8,0,Late
417,Djibouti,Africa,Non-democracy,Civilian Dict,1977,22,1,Middle
418,Djibouti,Africa,Non-democracy,Civilian Dict,1999,10,0,Late
419,Dominica,Americas,Democracy,Parliamentary Dem,1978,1,1,Middle
420,Dominica,Americas,Democracy,Parliamentary Dem,1979,1,1,Middle
421,Dominica,Americas,Democracy,Parliamentary Dem,1980,15,1,Middle
422,Dominica,Americas,Democracy,Parliamentary Dem,1995,5,1,Late
423,Dominica,Americas,Democracy,Parliamentary Dem,2000,4,1,Late
424,Dominica,Americas,Democracy,Parliamentary Dem,2004,5,0,Late
425,Dominican Republic,Americas,Non-democracy,Military Dict,1946,15,0,Early
426,Dominican Republic,Americas,Non-democracy,Civilian Dict,1961,1,1,Early
427,Dominican Republic,Americas,Non-democracy,Civilian Dict,1962,1,1,Early
428,Dominican Republic,Americas,Non-democracy,Military Dict,1963,2,1,Early
429,Dominican Republic,Americas,Non-democracy,Civilian Dict,1965,1,1,Early
430,Dominican Republic,Americas,Democracy,Presidential Dem,1966,12,1,Middle
431,Dominican Republic,Americas,Democracy,Presidential Dem,1978,4,0,Middle
432,Dominican Republic,Americas,Democracy,Presidential Dem,1982,4,1,Middle
433,Dominican Republic,Americas,Democracy,Presidential Dem,1986,10,1,Late
434,Dominican Republic,Americas,Democracy,Presidential Dem,1996,4,1,Late
435,Dominican Republic,Americas,Democracy,Presidential Dem,2000,4,1,Late
436,Dominican Republic,Americas,Democracy,Presidential Dem,2004,5,0,Late
437,East Timor,Asia,Democracy,Mixed Dem,2002,4,1,Late
438,East Timor,Asia,Democracy,Mixed Dem,2006,1,1,Late
439,East Timor,Asia,Democracy,Mixed Dem,2007,2,0,Late
440,Ecuador,Americas,Democracy,Presidential Dem,1946,1,1,Early
441,Ecuador,Americas,Non-democracy,Military Dict,1947,1,1,Early
442,Ecuador,Americas,Democracy,Presidential Dem,1948,4,1,Early
443,Ecuador,Americas,Democracy,Presidential Dem,1952,4,1,Early
444,Ecuador,Americas,Democracy,Presidential Dem,1956,4,1,Early
445,Ecuador,Americas,Democracy,Presidential Dem,1960,1,1,Early
446,Ecuador,Americas,Democracy,Presidential Dem,1961,2,1,Early
447,Ecuador,Americas,Non-democracy,Military Dict,1963,3,1,Early
448,Ecuador,Americas,Non-democracy,Civilian Dict,1966,2,1,Middle
449,Ecuador,Americas,Non-democracy,Civilian Dict,1968,4,1,Middle
450,Ecuador,Americas,Non-democracy,Military Dict,1972,4,1,Middle
451,Ecuador,Americas,Non-democracy,Military Dict,1976,3,1,Middle
452,Ecuador,Americas,Democracy,Presidential Dem,1979,2,0,Middle
453,Ecuador,Americas,Democracy,Presidential Dem,1981,3,1,Middle
454,Ecuador,Americas,Democracy,Presidential Dem,1984,4,1,Middle
455,Ecuador,Americas,Democracy,Presidential Dem,1988,4,1,Late
456,Ecuador,Americas,Democracy,Presidential Dem,1992,4,1,Late
457,Ecuador,Americas,Democracy,Presidential Dem,1996,1,1,Late
458,Ecuador,Americas,Democracy,Presidential Dem,1997,1,1,Late
459,Ecuador,Americas,Democracy,Presidential Dem,1998,2,1,Late
460,Ecuador,Americas,Non-democracy,Civilian Dict,2000,2,1,Late
461,Ecuador,Americas,Democracy,Presidential Dem,2002,1,1,Late
462,Ecuador,Americas,Democracy,Presidential Dem,2003,2,1,Late
463,Ecuador,Americas,Democracy,Presidential Dem,2005,2,1,Late
464,Ecuador,Americas,Democracy,Presidential Dem,2007,2,0,Late
465,Egypt,Africa,Non-democracy,Monarchy,1946,6,1,Early
466,Egypt,Africa,Non-democracy,Military Dict,1952,2,1,Early
467,Egypt,Africa,Non-democracy,Military Dict,1954,16,0,Early
468,Egypt,Africa,Non-democracy,Military Dict,1970,11,0,Middle
469,Egypt,Africa,Non-democracy,Military Dict,1981,28,0,Middle
470,El Salvador,Americas,Non-democracy,Military Dict,1946,2,1,Early
471,El Salvador,Americas,Non-democracy,Military Dict,1948,1,1,Early
472,El Salvador,Americas,Non-democracy,Military Dict,1949,1,1,Early
473,El Salvador,Americas,Non-democracy,Military Dict,1950,6,1,Early
474,El Salvador,Americas,Non-democracy,Military Dict,1956,4,1,Early
475,El Salvador,Americas,Non-democracy,Military Dict,1960,1,1,Early
476,El Salvador,Americas,Non-democracy,Military Dict,1961,1,1,Early
477,El Salvador,Americas,Non-democracy,Military Dict,1962,5,1,Early
478,El Salvador,Americas,Non-democracy,Military Dict,1967,5,1,Middle
479,El Salvador,Americas,Non-democracy,Military Dict,1972,5,1,Middle
480,El Salvador,Americas,Non-democracy,Military Dict,1977,2,1,Middle
481,El Salvador,Americas,Non-democracy,Military Dict,1979,1,1,Middle
482,El Salvador,Americas,Non-democracy,Civilian Dict,1980,2,1,Middle
483,El Salvador,Americas,Non-democracy,Military Dict,1982,2,1,Middle
484,El Salvador,Americas,Democracy,Presidential Dem,1984,5,1,Middle
485,El Salvador,Americas,Democracy,Presidential Dem,1989,5,1,Late
486,El Salvador,Americas,Democracy,Presidential Dem,1994,5,1,Late
487,El Salvador,Americas,Democracy,Presidential Dem,1999,5,1,Late
488,El Salvador,Americas,Democracy,Presidential Dem,2004,5,0,Late
489,Equatorial Guinea,Africa,Non-democracy,Civilian Dict,1968,11,1,Middle
490,Equatorial Guinea,Africa,Non-democracy,Military Dict,1979,30,0,Middle
491,Eritrea,Africa,Non-democracy,Civilian Dict,1993,16,0,Late
492,Estonia,Europe,Democracy,Parliamentary Dem,1991,1,1,Late
493,Estonia,Europe,Democracy,Parliamentary Dem,1992,2,1,Late
494,Estonia,Europe,Democracy,Parliamentary Dem,1994,1,1,Late
495,Estonia,Europe,Democracy,Parliamentary Dem,1995,2,1,Late
496,Estonia,Europe,Democracy,Parliamentary Dem,1997,2,1,Late
497,Estonia,Europe,Democracy,Parliamentary Dem,1999,3,1,Late
498,Estonia,Europe,Democracy,Parliamentary Dem,2002,1,1,Late
499,Estonia,Europe,Democracy,Parliamentary Dem,2003,2,1,Late
500,Estonia,Europe,Democracy,Parliamentary Dem,2005,4,0,Late
501,Ethiopia,Africa,Non-democracy,Monarchy,1946,28,1,Early
502,Ethiopia,Africa,Non-democracy,Military Dict,1974,3,1,Middle
503,Ethiopia,Africa,Non-democracy,Military Dict,1977,14,1,Middle
504,Ethiopia,Africa,Non-democracy,Civilian Dict,1991,4,0,Late
505,Ethiopia,Africa,Non-democracy,Civilian Dict,1991,4,0,Late
506,Ethiopia,Africa,Non-democracy,Civilian Dict,1995,6,1,Late
507,Ethiopia,Africa,Non-democracy,Civilian Dict,2001,8,0,Late
508,Fiji,Oceania,Non-democracy,Civilian Dict,1970,17,1,Middle
509,Fiji,Oceania,Non-democracy,Military Dict,1987,5,1,Late
510,Fiji,Oceania,Democracy,Parliamentary Dem,1992,7,1,Late
511,Fiji,Oceania,Democracy,Parliamentary Dem,1999,1,1,Late
512,Fiji,Oceania,Non-democracy,Military Dict,2000,1,1,Late
513,Fiji,Oceania,Non-democracy,Civilian Dict,2001,5,1,Late
514,Fiji,Oceania,Non-democracy,Military Dict,2006,3,0,Late
515,Finland,Europe,Democracy,Mixed Dem,1946,2,1,Early
516,Finland,Europe,Democracy,Mixed Dem,1948,2,1,Early
517,Finland,Europe,Democracy,Mixed Dem,1950,3,1,Early
518,Finland,Europe,Democracy,Mixed Dem,1953,1,1,Early
519,Finland,Europe,Democracy,Mixed Dem,1954,2,1,Early
520,Finland,Europe,Democracy,Mixed Dem,1956,1,1,Early
521,Finland,Europe,Democracy,Mixed Dem,1957,1,1,Early
522,Finland,Europe,Democracy,Mixed Dem,1958,1,1,Early
523,Finland,Europe,Democracy,Mixed Dem,1959,2,1,Early
524,Finland,Europe,Democracy,Mixed Dem,1961,1,1,Early
525,Finland,Europe,Democracy,Mixed Dem,1962,1,1,Early
526,Finland,Europe,Democracy,Mixed Dem,1963,1,1,Early
527,Finland,Europe,Democracy,Mixed Dem,1964,2,1,Early
528,Finland,Europe,Democracy,Mixed Dem,1966,2,1,Middle
529,Finland,Europe,Democracy,Mixed Dem,1968,2,1,Middle
530,Finland,Europe,Democracy,Mixed Dem,1970,1,1,Middle
531,Finland,Europe,Democracy,Mixed Dem,1971,1,1,Middle
532,Finland,Europe,Democracy,Mixed Dem,1972,3,1,Middle
533,Finland,Europe,Democracy,Mixed Dem,1975,2,1,Middle
534,Finland,Europe,Democracy,Mixed Dem,1977,2,1,Middle
535,Finland,Europe,Democracy,Mixed Dem,1979,3,1,Middle
536,Finland,Europe,Democracy,Mixed Dem,1982,5,1,Middle
537,Finland,Europe,Democracy,Mixed Dem,1987,4,1,Late
538,Finland,Europe,Democracy,Mixed Dem,1991,4,1,Late
539,Finland,Europe,Democracy,Mixed Dem,1995,8,1,Late
540,Finland,Europe,Democracy,Mixed Dem,2003,6,0,Late
541,France,Europe,Democracy,Parliamentary Dem,1946,1,1,Early
542,France,Europe,Democracy,Parliamentary Dem,1947,1,1,Early
543,France,Europe,Democracy,Parliamentary Dem,1948,1,1,Early
544,France,Europe,Democracy,Parliamentary Dem,1949,1,1,Early
545,France,Europe,Democracy,Parliamentary Dem,1950,2,1,Early
546,France,Europe,Democracy,Parliamentary Dem,1952,1,1,Early
547,France,Europe,Democracy,Parliamentary Dem,1953,1,1,Early
548,France,Europe,Democracy,Parliamentary Dem,1954,1,1,Early
549,France,Europe,Democracy,Parliamentary Dem,1955,1,1,Early
550,France,Europe,Democracy,Parliamentary Dem,1956,1,1,Early
551,France,Europe,Democracy,Parliamentary Dem,1957,1,1,Early
552,France,Europe,Democracy,Parliamentary Dem,1958,1,1,Early
553,France,Europe,Democracy,Parliamentary Dem,1959,3,1,Early
554,France,Europe,Democracy,Parliamentary Dem,1962,3,1,Early
555,France,Europe,Democracy,Mixed Dem,1965,3,1,Early
556,France,Europe,Democracy,Mixed Dem,1968,1,1,Middle
557,France,Europe,Democracy,Mixed Dem,1969,3,1,Middle
558,France,Europe,Democracy,Mixed Dem,1972,2,1,Middle
559,France,Europe,Democracy,Mixed Dem,1974,2,1,Middle
560,France,Europe,Democracy,Mixed Dem,1976,5,1,Middle
561,France,Europe,Democracy,Mixed Dem,1981,3,1,Middle
562,France,Europe,Democracy,Mixed Dem,1984,2,1,Middle
563,France,Europe,Democracy,Mixed Dem,1986,2,1,Late
564,France,Europe,Democracy,Mixed Dem,1988,3,1,Late
565,France,Europe,Democracy,Mixed Dem,1991,1,1,Late
566,France,Europe,Democracy,Mixed Dem,1992,1,1,Late
567,France,Europe,Democracy,Mixed Dem,1993,2,1,Late
568,France,Europe,Democracy,Mixed Dem,1995,2,1,Late
569,France,Europe,Democracy,Mixed Dem,1997,5,1,Late
570,France,Europe,Democracy,Mixed Dem,2002,3,1,Late
571,France,Europe,Democracy,Mixed Dem,2005,2,1,Late
572,France,Europe,Democracy,Mixed Dem,2007,2,0,Late
573,Gabon,Africa,Non-democracy,Civilian Dict,1960,7,0,Early
574,Gabon,Africa,Non-democracy,Civilian Dict,1967,42,0,Middle
575,Gambia,Africa,Non-democracy,Civilian Dict,1965,29,1,Early
576,Gambia,Africa,Non-democracy,Military Dict,1994,15,0,Late
577,Georgia,Asia,Non-democracy,Civilian Dict,1991,1,1,Late
578,Georgia,Asia,Non-democracy,Civilian Dict,1992,11,1,Late
579,Georgia,Asia,Non-democracy,Civilian Dict,2003,1,1,Late
580,Georgia,Asia,Democracy,Mixed Dem,2004,1,1,Late
581,Georgia,Asia,Democracy,Mixed Dem,2005,2,1,Late
582,Georgia,Asia,Democracy,Mixed Dem,2007,1,1,Late
583,Georgia,Asia,Democracy,Mixed Dem,2008,1,0,Late
584,Germany,Europe,Democracy,Parliamentary Dem,1990,8,1,Late
585,Germany,Europe,Democracy,Parliamentary Dem,1998,7,1,Late
586,Germany,Europe,Democracy,Parliamentary Dem,2005,4,0,Late
587,"Germany, East",Europe,Non-democracy,Civilian Dict,1949,1,1,Early
588,"Germany, East",Europe,Non-democracy,Civilian Dict,1950,21,1,Early
589,"Germany, East",Europe,Non-democracy,Civilian Dict,1971,18,1,Middle
590,"Germany, East",Europe,Non-democracy,Civilian Dict,1989,1,0,Late
591,"Germany, West",Europe,Democracy,Parliamentary Dem,1949,14,1,Early
592,"Germany, West",Europe,Democracy,Parliamentary Dem,1963,3,1,Early
593,"Germany, West",Europe,Democracy,Parliamentary Dem,1966,3,1,Middle
594,"Germany, West",Europe,Democracy,Parliamentary Dem,1969,5,1,Middle
595,"Germany, West",Europe,Democracy,Parliamentary Dem,1974,8,1,Middle
596,"Germany, West",Europe,Democracy,Parliamentary Dem,1982,8,0,Middle
597,Ghana,Africa,Non-democracy,Civilian Dict,1957,9,1,Early
598,Ghana,Africa,Non-democracy,Military Dict,1966,3,1,Middle
599,Ghana,Africa,Democracy,Parliamentary Dem,1969,3,1,Middle
600,Ghana,Africa,Non-democracy,Military Dict,1972,6,1,Middle
601,Ghana,Africa,Non-democracy,Military Dict,1978,1,1,Middle
602,Ghana,Africa,Democracy,Presidential Dem,1979,2,1,Middle
603,Ghana,Africa,Non-democracy,Military Dict,1981,12,1,Middle
604,Ghana,Africa,Democracy,Presidential Dem,1993,8,1,Late
605,Ghana,Africa,Democracy,Presidential Dem,2001,8,0,Late
606,Greece,Europe,Democracy,Parliamentary Dem,1946,1,1,Early
607,Greece,Europe,Democracy,Parliamentary Dem,1947,2,1,Early
608,Greece,Europe,Democracy,Parliamentary Dem,1949,1,1,Early
609,Greece,Europe,Democracy,Parliamentary Dem,1950,2,1,Early
610,Greece,Europe,Democracy,Parliamentary Dem,1952,3,0,Early
611,Greece,Europe,Democracy,Parliamentary Dem,1955,8,1,Early
612,Greece,Europe,Democracy,Parliamentary Dem,1963,1,1,Early
613,Greece,Europe,Democracy,Parliamentary Dem,1964,1,1,Early
614,Greece,Europe,Democracy,Parliamentary Dem,1965,1,1,Early
615,Greece,Europe,Democracy,Parliamentary Dem,1966,1,1,Middle
616,Greece,Europe,Non-democracy,Military Dict,1967,6,1,Middle
617,Greece,Europe,Non-democracy,Military Dict,1973,1,1,Middle
618,Greece,Europe,Democracy,Parliamentary Dem,1974,6,1,Middle
619,Greece,Europe,Democracy,Parliamentary Dem,1980,1,1,Middle
620,Greece,Europe,Democracy,Parliamentary Dem,1981,8,1,Middle
621,Greece,Europe,Democracy,Parliamentary Dem,1989,1,1,Late
622,Greece,Europe,Democracy,Parliamentary Dem,1990,3,1,Late
623,Greece,Europe,Democracy,Parliamentary Dem,1993,3,0,Late
624,Greece,Europe,Democracy,Parliamentary Dem,1996,8,1,Late
625,Greece,Europe,Democracy,Parliamentary Dem,2004,5,0,Late
626,Grenada,Americas,Democracy,Parliamentary Dem,1974,5,1,Middle
627,Grenada,Americas,Non-democracy,Civilian Dict,1979,4,0,Middle
628,Grenada,Americas,Non-democracy,Civilian Dict,1983,1,1,Middle
629,Grenada,Americas,Democracy,Parliamentary Dem,1984,5,0,Middle
630,Grenada,Americas,Democracy,Parliamentary Dem,1989,1,1,Late
631,Grenada,Americas,Democracy,Parliamentary Dem,1990,5,1,Late
632,Grenada,Americas,Democracy,Parliamentary Dem,1995,13,1,Late
633,Grenada,Americas,Democracy,Parliamentary Dem,2008,1,0,Late
634,Guatemala,Americas,Democracy,Presidential Dem,1946,5,1,Early
635,Guatemala,Americas,Democracy,Presidential Dem,1951,3,1,Early
636,Guatemala,Americas,Non-democracy,Military Dict,1954,3,0,Early
637,Guatemala,Americas,Non-democracy,Military Dict,1957,1,1,Early
638,Guatemala,Americas,Democracy,Presidential Dem,1958,5,1,Early
639,Guatemala,Americas,Non-democracy,Military Dict,1963,3,1,Early
640,Guatemala,Americas,Democracy,Presidential Dem,1966,4,1,Middle
641,Guatemala,Americas,Democracy,Presidential Dem,1970,4,1,Middle
642,Guatemala,Americas,Democracy,Presidential Dem,1974,4,1,Middle
643,Guatemala,Americas,Democracy,Presidential Dem,1978,4,1,Middle
644,Guatemala,Americas,Non-democracy,Military Dict,1982,1,1,Middle
645,Guatemala,Americas,Non-democracy,Military Dict,1983,3,1,Middle
646,Guatemala,Americas,Democracy,Presidential Dem,1986,5,1,Late
647,Guatemala,Americas,Democracy,Presidential Dem,1991,2,1,Late
648,Guatemala,Americas,Democracy,Presidential Dem,1993,3,1,Late
649,Guatemala,Americas,Democracy,Presidential Dem,1996,4,1,Late
650,Guatemala,Americas,Democracy,Presidential Dem,2000,8,1,Late
651,Guatemala,Americas,Democracy,Presidential Dem,2008,1,0,Late
652,Guinea,Africa,Non-democracy,Civilian Dict,1958,26,0,Early
653,Guinea,Africa,Non-democracy,Military Dict,1984,24,0,Middle
654,Guinea,Africa,Non-democracy,Military Dict,2008,1,0,Late
655,Guinea-Bissau,Africa,Non-democracy,Civilian Dict,1974,6,1,Middle
656,Guinea-Bissau,Africa,Non-democracy,Military Dict,1980,19,1,Middle
657,Guinea-Bissau,Africa,Non-democracy,Military Dict,1999,1,1,Late
658,Guinea-Bissau,Africa,Democracy,Mixed Dem,2000,3,1,Late
659,Guinea-Bissau,Africa,Non-democracy,Civilian Dict,2003,1,1,Late
660,Guinea-Bissau,Africa,Democracy,Mixed Dem,2004,1,1,Late
661,Guinea-Bissau,Africa,Democracy,Mixed Dem,2005,2,1,Late
662,Guinea-Bissau,Africa,Democracy,Mixed Dem,2007,1,1,Late
663,Guinea-Bissau,Africa,Democracy,Mixed Dem,2008,1,0,Late
664,Guyana,Americas,Non-democracy,Civilian Dict,1966,19,0,Middle
665,Guyana,Americas,Non-democracy,Civilian Dict,1985,7,1,Middle
666,Guyana,Americas,Non-democracy,Civilian Dict,1992,5,0,Late
667,Guyana,Americas,Non-democracy,Civilian Dict,1997,2,1,Late
668,Guyana,Americas,Non-democracy,Civilian Dict,1999,10,0,Late
669,Haiti,Americas,Non-democracy,Civilian Dict,1946,4,1,Early
670,Haiti,Americas,Non-democracy,Military Dict,1950,6,1,Early
671,Haiti,Americas,Non-democracy,Civilian Dict,1956,1,1,Early
672,Haiti,Americas,Non-democracy,Civilian Dict,1957,14,0,Early
673,Haiti,Americas,Non-democracy,Civilian Dict,1971,15,1,Middle
674,Haiti,Americas,Non-democracy,Military Dict,1986,2,1,Late
675,Haiti,Americas,Non-democracy,Military Dict,1988,2,1,Late
676,Haiti,Americas,Non-democracy,Civilian Dict,1990,1,1,Late
677,Haiti,Americas,Non-democracy,Civilian Dict,1991,1,1,Late
678,Haiti,Americas,Non-democracy,Civilian Dict,1992,1,1,Late
679,Haiti,Americas,Non-democracy,Civilian Dict,1993,3,1,Late
680,Haiti,Americas,Non-democracy,Civilian Dict,1996,5,1,Late
681,Haiti,Americas,Non-democracy,Civilian Dict,2001,3,1,Late
682,Haiti,Americas,Non-democracy,Civilian Dict,2004,2,1,Late
683,Haiti,Americas,Non-democracy,Civilian Dict,2006,3,0,Late
684,Honduras,Americas,Non-democracy,Military Dict,1946,3,1,Early
685,Honduras,Americas,Non-democracy,Civilian Dict,1949,5,1,Early
686,Honduras,Americas,Non-democracy,Civilian Dict,1954,2,1,Early
687,Honduras,Americas,Non-democracy,Military Dict,1956,1,1,Early
688,Honduras,Americas,Democracy,Presidential Dem,1957,6,1,Early
689,Honduras,Americas,Non-democracy,Military Dict,1963,8,1,Early
690,Honduras,Americas,Democracy,Presidential Dem,1971,1,1,Middle
691,Honduras,Americas,Non-democracy,Military Dict,1972,3,1,Middle
692,Honduras,Americas,Non-democracy,Military Dict,1975,3,1,Middle
693,Honduras,Americas,Non-democracy,Military Dict,1978,4,1,Middle
694,Honduras,Americas,Democracy,Presidential Dem,1982,4,1,Middle
695,Honduras,Americas,Democracy,Presidential Dem,1986,4,1,Late
696,Honduras,Americas,Democracy,Presidential Dem,1990,4,1,Late
697,Honduras,Americas,Democracy,Presidential Dem,1994,4,1,Late
698,Honduras,Americas,Democracy,Presidential Dem,1998,4,1,Late
699,Honduras,Americas,Democracy,Presidential Dem,2002,4,1,Late
700,Honduras,Americas,Democracy,Presidential Dem,2006,3,0,Late
701,Hungary,Europe,Non-democracy,Civilian Dict,1946,10,1,Early
702,Hungary,Europe,Non-democracy,Civilian Dict,1956,32,1,Early
703,Hungary,Europe,Non-democracy,Civilian Dict,1988,1,1,Late
704,Hungary,Europe,Non-democracy,Civilian Dict,1989,1,1,Late
705,Hungary,Europe,Democracy,Parliamentary Dem,1990,3,0,Late
706,Hungary,Europe,Democracy,Parliamentary Dem,1993,1,1,Late
707,Hungary,Europe,Democracy,Parliamentary Dem,1994,4,1,Late
708,Hungary,Europe,Democracy,Parliamentary Dem,1998,4,1,Late
709,Hungary,Europe,Democracy,Parliamentary Dem,2002,2,1,Late
710,Hungary,Europe,Democracy,Parliamentary Dem,2004,5,0,Late
711,Iceland,Europe,Democracy,Mixed Dem,1946,1,1,Early
712,Iceland,Europe,Democracy,Mixed Dem,1947,2,1,Early
713,Iceland,Europe,Democracy,Mixed Dem,1949,1,1,Early
714,Iceland,Europe,Democracy,Mixed Dem,1950,3,1,Early
715,Iceland,Europe,Democracy,Mixed Dem,1953,3,1,Early
716,Iceland,Europe,Democracy,Mixed Dem,1956,2,1,Early
717,Iceland,Europe,Democracy,Mixed Dem,1958,1,1,Early
718,Iceland,Europe,Democracy,Mixed Dem,1959,4,1,Early
719,Iceland,Europe,Democracy,Mixed Dem,1963,7,0,Early
720,Iceland,Europe,Democracy,Mixed Dem,1970,1,1,Middle
721,Iceland,Europe,Democracy,Mixed Dem,1971,3,1,Middle
722,Iceland,Europe,Democracy,Mixed Dem,1974,4,1,Middle
723,Iceland,Europe,Democracy,Mixed Dem,1978,1,1,Middle
724,Iceland,Europe,Democracy,Mixed Dem,1979,1,1,Middle
725,Iceland,Europe,Democracy,Mixed Dem,1980,3,1,Middle
726,Iceland,Europe,Democracy,Mixed Dem,1983,4,1,Middle
727,Iceland,Europe,Democracy,Mixed Dem,1987,1,1,Late
728,Iceland,Europe,Democracy,Mixed Dem,1988,3,1,Late
729,Iceland,Europe,Democracy,Mixed Dem,1991,13,1,Late
730,Iceland,Europe,Democracy,Mixed Dem,2004,2,1,Late
731,Iceland,Europe,Democracy,Mixed Dem,2006,3,0,Late
732,India,Asia,Democracy,Parliamentary Dem,1947,17,0,Early
733,India,Asia,Democracy,Parliamentary Dem,1964,2,1,Early
734,India,Asia,Democracy,Parliamentary Dem,1966,11,1,Middle
735,India,Asia,Democracy,Parliamentary Dem,1977,2,1,Middle
736,India,Asia,Democracy,Parliamentary Dem,1979,1,1,Middle
737,India,Asia,Democracy,Parliamentary Dem,1980,4,0,Middle
738,India,Asia,Democracy,Parliamentary Dem,1984,5,0,Middle
739,India,Asia,Democracy,Parliamentary Dem,1989,1,1,Late
740,India,Asia,Democracy,Parliamentary Dem,1990,1,1,Late
741,India,Asia,Democracy,Parliamentary Dem,1991,5,1,Late
742,India,Asia,Democracy,Parliamentary Dem,1996,1,1,Late
743,India,Asia,Democracy,Parliamentary Dem,1997,1,1,Late
744,India,Asia,Democracy,Parliamentary Dem,1998,6,1,Late
745,India,Asia,Democracy,Parliamentary Dem,2004,5,0,Late
746,Indonesia,Asia,Non-democracy,Civilian Dict,1949,17,1,Early
747,Indonesia,Asia,Non-democracy,Military Dict,1966,32,1,Middle
748,Indonesia,Asia,Non-democracy,Military Dict,1998,1,1,Late
749,Indonesia,Asia,Democracy,Presidential Dem,1999,2,1,Late
750,Indonesia,Asia,Democracy,Presidential Dem,2001,3,1,Late
751,Indonesia,Asia,Democracy,Presidential Dem,2004,5,0,Late
752,Iran,Asia,Non-democracy,Monarchy,1946,33,1,Early
753,Iran,Asia,Non-democracy,Civilian Dict,1979,10,0,Middle
754,Iran,Asia,Non-democracy,Civilian Dict,1989,20,0,Late
755,Iraq,Asia,Non-democracy,Monarchy,1946,7,1,Early
756,Iraq,Asia,Non-democracy,Monarchy,1953,5,0,Early
757,Iraq,Asia,Non-democracy,Military Dict,1958,5,1,Early
758,Iraq,Asia,Non-democracy,Military Dict,1963,3,0,Early
759,Iraq,Asia,Non-democracy,Military Dict,1966,2,1,Middle
760,Iraq,Asia,Non-democracy,Military Dict,1968,11,1,Middle
761,Iraq,Asia,Non-democracy,Civilian Dict,1979,24,1,Middle
762,Iraq,Asia,Non-democracy,Military Dict,2003,6,0,Late
763,Ireland,Europe,Democracy,Mixed Dem,1946,2,1,Early
764,Ireland,Europe,Democracy,Mixed Dem,1948,3,1,Early
765,Ireland,Europe,Democracy,Mixed Dem,1951,3,1,Early
766,Ireland,Europe,Democracy,Mixed Dem,1954,3,1,Early
767,Ireland,Europe,Democracy,Mixed Dem,1957,2,1,Early
768,Ireland,Europe,Democracy,Mixed Dem,1959,7,1,Early
769,Ireland,Europe,Democracy,Mixed Dem,1966,7,1,Middle
770,Ireland,Europe,Democracy,Mixed Dem,1973,4,1,Middle
771,Ireland,Europe,Democracy,Mixed Dem,1977,2,1,Middle
772,Ireland,Europe,Democracy,Mixed Dem,1979,2,1,Middle
773,Ireland,Europe,Democracy,Mixed Dem,1981,6,1,Middle
774,Ireland,Europe,Democracy,Mixed Dem,1987,5,1,Late
